ef,recall,query_time
1000,0.928851,0.000343
1100,0.936999,0.000382
1200,0.943781,0.000415
1300,0.949402,0.000449
1400,0.954206,0.000468
1500,0.958364,0.000515
1600,0.961998,0.000548
1700,0.965138,0.000576
1800,0.967802,0.000610
1900,0.970172,0.000642
2000,0.972318,0.000674
2100,0.974224,0.000707
2200,0.975966,0.000722
2300,0.977544,0.000761
2400,0.978978,0.000803
2500,0.980217,0.000830
2600,0.981364,0.000865
2700,0.982419,0.000897
2800,0.983392,0.000930
2900,0.984295,0.000968
3000,0.985105,0.000996
3100,0.985853,0.001030
3200,0.986548,0.001067
3300,0.987199,0.001086
3400,0.987804,0.001115
3500,0.988370,0.001142
3600,0.988918,0.001180
3700,0.989418,0.001218
3800,0.989884,0.001247
3900,0.990319,0.001273
4000,0.990729,0.001300
4100,0.991112,0.001342
4200,0.991470,0.001373
4300,0.991817,0.001398
4400,0.992135,0.001435
4500,0.992426,0.001466
4600,0.992703,0.001502
4700,0.992981,0.001533
4800,0.993244,0.001567
4900,0.993486,0.001603
5000,0.993716,0.001623
5100,0.993927,0.001661
5200,0.994124,0.001688
5300,0.994319,0.001722
5400,0.994505,0.001742
5500,0.994690,0.001773
5600,0.994861,0.001810
5700,0.995018,0.001858
5800,0.995172,0.001871
5900,0.995325,0.001910
6000,0.995470,0.001938
6100,0.995606,0.001980
6200,0.995738,0.002003
6300,0.995868,0.002036
6400,0.995991,0.002072
6500,0.996105,0.002091
6600,0.996216,0.002140
6700,0.996326,0.002154
6800,0.996430,0.002190
6900,0.996531,0.002213
7000,0.996628,0.002252
7100,0.996722,0.002279
7200,0.996812,0.002309
7300,0.996901,0.002326
7400,0.996984,0.002394
7500,0.997061,0.002402
7600,0.997141,0.002447
7700,0.997215,0.002475
7800,0.997287,0.002520
7900,0.997351,0.002530
8000,0.997414,0.002559
8100,0.997482,0.002591
8200,0.997540,0.002630
8300,0.997599,0.002660
8400,0.997654,0.002704
8500,0.997710,0.002712
8600,0.997761,0.002734
8700,0.997810,0.002771
8800,0.997865,0.002811
8900,0.997915,0.002838
9000,0.997961,0.002894
9100,0.998003,0.002911
9200,0.998053,0.002943
9300,0.998097,0.002978
9400,0.998140,0.002998
9500,0.998181,0.003027
9600,0.998222,0.003048
9700,0.998259,0.003085
9800,0.998297,0.003138
9900,0.998331,0.003142
10000,0.998368,0.003177
