nprobe,recall,query_time
20,0.793233,0.004047
25,0.826479,0.005001
30,0.851358,0.005840
35,0.870527,0.006797
40,0.886082,0.008257
45,0.898729,0.008717
50,0.909313,0.010221
55,0.918095,0.011010
60,0.925681,0.011564
65,0.932235,0.012244
70,0.937863,0.013625
75,0.942911,0.015053
80,0.947329,0.015835
85,0.951283,0.015926
90,0.954792,0.017388
95,0.957956,0.017862
100,0.960812,0.018687
