ef,recall,time
1000,0.9303686,0.0004159178018569946
1100,0.9383583,0.00030301930904388425
1200,0.9450226,0.00037536492347717287
1300,0.9505954,0.00035795960426330566
1400,0.9553393,0.00039328222274780274
1500,0.9594034,0.0004054801225662231
1600,0.962915,0.00046203525066375735
1700,0.9659882,0.0006008953809738159
1800,0.9686614,0.00048598477840423583
1900,0.9710151,0.0005785490989685058
2000,0.9731264,0.0005277911424636841
2100,0.975007,0.0005619523763656616
2200,0.9767039,0.0007380949497222901
2300,0.9782071,0.000644310712814331
2400,0.9795908,0.000731635856628418
2500,0.9808466,0.000684120488166809
2600,0.9819913,0.0006842247724533081
2700,0.9830318,0.0007402442216873169
2800,0.9839974,0.000764607048034668
2900,0.9848497,0.0007490580797195435
3000,0.9856479,0.0007669281005859375
3100,0.9863872,0.0007952481746673584
3200,0.9870731,0.0008651717662811279
3300,0.9876883,0.0008397474765777588
3400,0.9882846,0.0009920008897781373
3500,0.9888295,0.000879483151435852
3600,0.9893434,0.000939785623550415
3700,0.9898202,0.0009489474296569824
3800,0.990268,0.0009876853704452514
3900,0.9906795,0.0010532470226287843
4000,0.9910602,0.001029801917076111
4100,0.991428,0.0011151185512542725
4200,0.9917726,0.001079392910003662
4300,0.9920901,0.001083889627456665
4400,0.9923863,0.0011593870878219604
4500,0.9926694,0.001178277587890625
4600,0.9929426,0.001259968876838684
4700,0.9931993,0.0011863564252853395
4800,0.9934453,0.001342891836166382
4900,0.9936683,0.0012315042734146117
5000,0.9938911,0.0012381994247436523
5100,0.9940982,0.001260612416267395
5200,0.9942928,0.0013728578329086304
5300,0.9944831,0.0013207273960113525
5400,0.9946624,0.0013976795434951783
5500,0.9948401,0.001415619397163391
5600,0.9950078,0.001482574772834778
5700,0.9951567,0.0014243513107299805
5800,0.9953055,0.001549625587463379
5900,0.9954486,0.0014906211137771606
6000,0.9955819,0.0015038073778152466
6100,0.9957152,0.0015261048793792724
6200,0.9958316,0.0015936900854110717
6300,0.9959462,0.0015700139045715332
6400,0.9960609,0.001624124312400818
6500,0.996168,0.0016305989265441895
6600,0.9962603,0.0016551350355148316
6700,0.9963668,0.00167596218585968
6800,0.9964614,0.0016815808057785034
6900,0.9965505,0.0017535680532455445
7000,0.9966397,0.0017631090879440309
7100,0.9967276,0.0017858491659164429
7200,0.9968159,0.0017880908489227294
7300,0.9968982,0.0018256503343582154
7400,0.9969722,0.001839896059036255
7500,0.9970451,0.001873737668991089
7600,0.99712,0.0018977007150650024
7700,0.9971891,0.0019171282768249511
7800,0.9972506,0.0020143399000167846
7900,0.9973075,0.0019519263029098512
8000,0.99737,0.001979349088668823
8100,0.9974309,0.0019930448055267332
8200,0.997491,0.0020236150979995727
8300,0.997543,0.0021201166868209838
8400,0.9975977,0.00208970365524292
8500,0.9976442,0.002169213008880615
8600,0.997694,0.002131717562675476
8700,0.9977413,0.0021342600584030153
8800,0.9977926,0.002157800006866455
8900,0.9978363,0.0022765297412872315
9000,0.9978811,0.0022581525802612304
9100,0.9979251,0.0022813933134078978
9200,0.9979638,0.0023096429109573362
9300,0.9980035,0.0023140445709228514
9400,0.9980451,0.002344938087463379
9500,0.9980841,0.0023162268400192263
9600,0.9981204,0.002371017074584961
9700,0.9981544,0.002383121418952942
9800,0.998187,0.002382787823677063
9900,0.9982218,0.002465625
10000,0.9982545,0.0024894311666488647
