ef,recall,query_time
1100,0.923464,0.000326
1200,0.931411,0.000357
1300,0.938176,0.000383
1400,0.943857,0.000409
1500,0.948797,0.000437
1600,0.953081,0.000465
1700,0.956837,0.000491
1800,0.960144,0.000519
1900,0.963060,0.000548
2000,0.965674,0.000576
2100,0.968000,0.000604
2200,0.970112,0.000631
2300,0.972027,0.000655
2400,0.973753,0.000685
2500,0.975318,0.000710
2600,0.976757,0.000738
2700,0.978076,0.000766
2800,0.979272,0.000791
2900,0.980374,0.000817
3000,0.981392,0.000842
3100,0.982328,0.000869
3200,0.983183,0.000895
3300,0.983977,0.000923
3400,0.984716,0.000951
3500,0.985410,0.000979
3600,0.986064,0.001004
3700,0.986659,0.001035
3800,0.987224,0.001060
3900,0.987760,0.001086
4000,0.988258,0.001112
4100,0.988733,0.001141
4200,0.989176,0.001170
4300,0.989588,0.001193
4400,0.989979,0.001224
4500,0.990350,0.001247
4600,0.990700,0.001273
4700,0.991027,0.001303
4800,0.991347,0.001326
4900,0.991658,0.001355
5000,0.991945,0.001382
5100,0.992220,0.001406
5200,0.992478,0.001427
5300,0.992721,0.001456
5400,0.992953,0.001483
5500,0.993170,0.001516
5600,0.993379,0.001541
5700,0.993586,0.001568
5800,0.993775,0.001591
5900,0.993963,0.001621
6000,0.994132,0.001649
6100,0.994309,0.001674
6200,0.994466,0.001703
6300,0.994618,0.001724
6400,0.994763,0.001750
6500,0.994903,0.001776
6600,0.995031,0.001792
6700,0.995159,0.001819
6800,0.995283,0.001849
6900,0.995399,0.001874
7000,0.995515,0.001898
7100,0.995629,0.001931
7200,0.995735,0.001951
7300,0.995838,0.001973
7400,0.995941,0.002006
7500,0.996042,0.002032
7600,0.996127,0.002055
7700,0.996215,0.002082
7800,0.996306,0.002106
7900,0.996388,0.002136
8000,0.996468,0.002160
8100,0.996546,0.002182
8200,0.996620,0.002209
8300,0.996690,0.002235
8400,0.996764,0.002265
8500,0.996834,0.002289
8600,0.996901,0.002317
8700,0.996966,0.002350
8800,0.997024,0.002372
8900,0.997082,0.002391
9000,0.997144,0.002419
9100,0.997200,0.002441
9200,0.997254,0.002469
9300,0.997308,0.002502
9400,0.997360,0.002528
9500,0.997411,0.002550
9600,0.997455,0.002573
9700,0.997503,0.002595
9800,0.997548,0.002626
9900,0.997598,0.002652
10000,0.997638,0.002672
