nprobe,recall,time
100,0.9608122,0.008325612044334412
200,0.9870019,0.016012075352668763
300,0.9941213,0.02377384865283966
400,0.9969189,0.030908219957351685
500,0.9982393,0.0386183406829834
600,0.9989252,0.045833675694465635
700,0.9993239,0.05330231623649597
800,0.9995607,0.06109433763027191
900,0.99971,0.0683458253145218
1000,0.9997972,0.07576860113143921
