iteration_number,unreachable_points_number,recall
0,0,0.922705
1,2,0.911850
2,7,0.910168
3,10,0.910743
4,18,0.911831
5,23,0.912550
6,30,0.913547
7,39,0.913828
8,51,0.914403
9,64,0.914922
10,75,0.915167
