iteration_number,unreachable_points_number,recall
325,4201,0.995765
326,4213,0.995777
327,4229,0.995723
328,4242,0.995691
329,4246,0.995694
330,4256,0.995683
331,4267,0.995687
332,4278,0.995724
333,4289,0.995689
334,4304,0.995660
335,4322,0.995660
336,4331,0.995652
337,4348,0.995621
338,4362,0.995600
339,4386,0.995600
340,4399,0.995598
341,4405,0.995585
342,4412,0.995597
343,4424,0.995542
344,4434,0.995515
345,4445,0.995533
346,4452,0.995539
347,4466,0.995533
348,4477,0.995534
349,4491,0.995471
350,4501,0.995473
351,4512,0.995473
352,4526,0.995436
353,4536,0.995419
354,4550,0.995419
355,4561,0.995411
356,4573,0.995392
357,4585,0.995387
358,4600,0.995386
359,4614,0.995400
360,4625,0.995406
361,4640,0.995396
362,4653,0.995358
363,4671,0.995393
364,4685,0.995376
365,4696,0.995330
366,4711,0.995319
367,4719,0.995310
368,4734,0.995325
369,4748,0.995274
370,4767,0.995264
371,4786,0.995271
372,4801,0.995223
373,4817,0.995257
374,4826,0.995234
375,4834,0.995227
376,4844,0.995210
377,4857,0.995160
378,4871,0.995171
379,4880,0.995138
380,4892,0.995150
381,4901,0.995139
382,4914,0.995129
383,4923,0.995127
384,4934,0.995123
385,4940,0.995093
386,4955,0.995055
387,4967,0.995090
388,4980,0.995061
389,5002,0.995013
390,5016,0.995009
391,5023,0.995014
392,5031,0.995044
393,5045,0.995025
394,5061,0.995013
395,5071,0.995000
396,5085,0.994989
397,5101,0.994971
398,5113,0.994957
399,5125,0.994933
400,5144,0.994966
401,5153,0.994959
402,5168,0.994935
403,5179,0.994917
404,5187,0.994875
405,5200,0.994904
406,5210,0.994913
407,5228,0.994924
408,5239,0.994936
409,5249,0.994934
410,5260,0.994914
411,5270,0.994875
412,5281,0.994876
413,5293,0.994892
414,5301,0.994858
415,5312,0.994821
416,5321,0.994780
417,5328,0.994802
418,5340,0.994777
419,5358,0.994802
420,5366,0.994794
421,5381,0.994737
422,5399,0.994715
423,5409,0.994690
424,5422,0.994677
425,5437,0.994650
426,5453,0.994628
427,5464,0.994625
428,5479,0.994663
429,5497,0.994637
430,5513,0.994585
431,5525,0.994608
432,5537,0.994620
433,5551,0.994622
434,5564,0.994553
435,5578,0.994589
436,5589,0.994548
437,5602,0.994601
438,5612,0.994591
439,5619,0.994562
440,5634,0.994568
441,5645,0.994548
442,5658,0.994556
443,5670,0.994521
444,5683,0.994523
445,5688,0.994481
446,5701,0.994403
447,5719,0.994401
448,5727,0.994424
449,5736,0.994429
450,5750,0.994420
451,5761,0.994407
452,5774,0.994387
453,5782,0.994356
454,5796,0.994349
455,5807,0.994396
456,5814,0.994353
457,5825,0.994335
458,5836,0.994366
459,5842,0.994389
460,5858,0.994324
461,5866,0.994313
462,5871,0.994306
463,5884,0.994307
464,5895,0.994254
465,5906,0.994270
466,5922,0.994270
467,5937,0.994243
468,5949,0.994243
469,5957,0.994209
470,5966,0.994238
471,5978,0.994215
472,5990,0.994195
473,6003,0.994169
474,6010,0.994170
475,6026,0.994164
476,6038,0.994167
477,6059,0.994168
478,6076,0.994163
479,6091,0.994174
480,6103,0.994131
481,6117,0.994181
482,6127,0.994133
483,6139,0.994073
484,6147,0.994139
485,6156,0.994118
486,6161,0.994075
487,6169,0.994088
488,6179,0.994084
489,6189,0.994084
490,6200,0.994055
491,6212,0.994059
492,6226,0.994084
493,6239,0.994038
494,6251,0.994027
495,6255,0.994042
496,6263,0.994029
497,6269,0.994008
498,6284,0.993979
499,6297,0.993983
500,6311,0.994007
501,6326,0.994001
502,6341,0.994022
503,6348,0.993960
504,6361,0.993930
505,6371,0.993965
506,6382,0.993944
507,6390,0.993918
508,6400,0.993873
509,6411,0.993849
510,6422,0.993893
511,6437,0.993874
512,6451,0.993843
513,6460,0.993825
514,6467,0.993856
515,6485,0.993819
516,6497,0.993844
517,6508,0.993811
518,6518,0.993804
519,6534,0.993795
520,6545,0.993786
521,6552,0.993769
522,6566,0.993778
523,6577,0.993722
524,6583,0.993698
525,6595,0.993699
526,6617,0.993691
527,6629,0.993663
528,6643,0.993668
529,6654,0.993666
530,6662,0.993681
531,6673,0.993646
532,6688,0.993654
533,6703,0.993643
534,6716,0.993585
535,6719,0.993627
536,6725,0.993601
537,6736,0.993627
538,6746,0.993614
539,6753,0.993602
540,6763,0.993580
541,6775,0.993574
542,6785,0.993568
543,6798,0.993565
544,6812,0.993578
545,6817,0.993535
546,6830,0.993514
547,6839,0.993510
548,6854,0.993473
549,6861,0.993499
550,6877,0.993482
551,6890,0.993476
552,6908,0.993465
553,6916,0.993479
554,6931,0.993472
555,6940,0.993458
556,6951,0.993440
557,6955,0.993417
558,6965,0.993420
559,6973,0.993370
560,6983,0.993368
561,6996,0.993331
562,7007,0.993367
563,7016,0.993391
564,7029,0.993332
565,7039,0.993336
566,7052,0.993300
567,7065,0.993307
568,7073,0.993282
569,7082,0.993280
570,7087,0.993241
571,7097,0.993262
572,7112,0.993247
573,7127,0.993238
574,7137,0.993241
575,7147,0.993272
576,7163,0.993222
577,7169,0.993191
578,7185,0.993229
579,7202,0.993217
580,7216,0.993239
581,7234,0.993207
582,7243,0.993194
583,7252,0.993160
584,7267,0.993161
585,7279,0.993139
586,7290,0.993112
587,7302,0.993074
588,7318,0.993095
589,7329,0.993092
590,7340,0.993120
591,7350,0.993100
592,7358,0.993059
593,7375,0.993039
594,7382,0.993065
595,7396,0.993028
596,7409,0.993019
597,7423,0.993037
598,7435,0.992998
599,7448,0.992995
600,7456,0.992966
601,7462,0.992958
602,7472,0.992932
603,7485,0.992883
604,7504,0.992854
605,7513,0.992832
606,7521,0.992872
607,7532,0.992875
608,7545,0.992889
609,7557,0.992913
610,7566,0.992871
611,7575,0.992870
612,7588,0.992842
613,7593,0.992833
614,7602,0.992839
615,7618,0.992806
616,7629,0.992796
617,7638,0.992783
618,7649,0.992765
