ef,recall,query_time
1000,0.916771,0.000360
1100,0.926257,0.000374
1200,0.934189,0.000409
1300,0.940889,0.000435
1400,0.946532,0.000476
1500,0.951406,0.000516
1600,0.955656,0.000551
1700,0.959323,0.000580
1800,0.962556,0.000611
1900,0.965399,0.000638
2000,0.967948,0.000672
2100,0.970220,0.000706
2200,0.972229,0.000730
2300,0.974092,0.000766
2400,0.975771,0.000799
2500,0.977275,0.000828
2600,0.978644,0.000859
2700,0.979903,0.000884
2800,0.981053,0.000913
2900,0.982087,0.000950
3000,0.983057,0.000982
3100,0.983936,0.001012
3200,0.984755,0.001044
3300,0.985506,0.001070
3400,0.986211,0.001095
3500,0.986848,0.001132
3600,0.987476,0.001165
3700,0.988047,0.001192
3800,0.988581,0.001213
3900,0.989091,0.001244
4000,0.989559,0.001277
4100,0.990005,0.001311
4200,0.990420,0.001347
4300,0.990808,0.001372
4400,0.991164,0.001399
4500,0.991521,0.001443
4600,0.991854,0.001466
4700,0.992154,0.001497
4800,0.992442,0.001522
4900,0.992722,0.001563
5000,0.992989,0.001601
5100,0.993229,0.001628
5200,0.993454,0.001658
5300,0.993680,0.001682
5400,0.993894,0.001705
5500,0.994093,0.001732
5600,0.994277,0.001766
5700,0.994458,0.001811
5800,0.994635,0.001836
5900,0.994796,0.001875
6000,0.994954,0.001889
6100,0.995106,0.001922
6200,0.995239,0.001953
6300,0.995384,0.001980
6400,0.995511,0.002010
6500,0.995640,0.002041
6600,0.995767,0.002075
6700,0.995881,0.002099
6800,0.995996,0.002131
6900,0.996106,0.002160
7000,0.996205,0.002184
7100,0.996313,0.002224
7200,0.996412,0.002251
7300,0.996505,0.002289
7400,0.996600,0.002334
7500,0.996687,0.002365
7600,0.996768,0.002374
7700,0.996851,0.002405
7800,0.996918,0.002439
7900,0.996994,0.002463
8000,0.997068,0.002499
8100,0.997132,0.002515
8200,0.997196,0.002553
8300,0.997255,0.002569
8400,0.997315,0.002601
8500,0.997374,0.002633
8600,0.997436,0.002664
8700,0.997493,0.002706
8800,0.997548,0.002732
8900,0.997603,0.002758
9000,0.997650,0.002787
9100,0.997701,0.002827
9200,0.997751,0.002847
9300,0.997798,0.002871
9400,0.997843,0.002911
9500,0.997887,0.002939
9600,0.997926,0.002963
9700,0.997971,0.002986
9800,0.998008,0.003009
9900,0.998040,0.003040
10000,0.998084,0.003086
