nprobe,recall,query_time
20,0.793233,0.004587
25,0.826479,0.005098
30,0.851358,0.006004
35,0.870527,0.007043
40,0.886082,0.007868
45,0.898729,0.008858
50,0.909313,0.009740
55,0.918095,0.010955
60,0.925681,0.011568
65,0.932235,0.012331
70,0.937863,0.013260
75,0.942911,0.014176
80,0.947329,0.015469


