nprobe,recall,query_time
50,0.919120,0.010217
55,0.930020,0.011217
60,0.939280,0.011881
65,0.946900,0.012797
70,0.953310,0.013499
75,0.959240,0.014408
80,0.963810,0.015267
85,0.967710,0.016008
90,0.971060,0.017054
95,0.974680,0.017909
100,0.977420,0.018638
105,0.979730,0.019361
110,0.981700,0.019922
115,0.983710,0.020888
120,0.985590,0.022044
125,0.986980,0.023156
130,0.988470,0.023591
135,0.989810,0.025019
140,0.990890,0.025029
145,0.991860,0.026803
150,0.992620,0.026987
