nprobe,recall,query_time
50,0.919120,0.011713
55,0.930020,0.012671
60,0.939280,0.013701
65,0.946900,0.014599
70,0.953310,0.015597
75,0.959240,0.016699
80,0.963810,0.017616
85,0.967710,0.018863
90,0.971060,0.019833
95,0.974680,0.020595
100,0.977420,0.021492
105,0.979730,0.022720
110,0.981700,0.024076
115,0.983710,0.024937
120,0.985590,0.026140
125,0.986980,0.027253
130,0.988470,0.027625
135,0.989810,0.028462
140,0.990890,0.030031
145,0.991860,0.030541
150,0.992620,0.033631
