nprobe,recall,query_time
10,0.688500,0.000570
15,0.786500,0.000550
20,0.842000,0.000725
25,0.879500,0.000895
30,0.913000,0.001065
35,0.932000,0.001280
40,0.946000,0.001470
45,0.953500,0.001640
50,0.957500,0.001805
55,0.962500,0.002250
60,0.969000,0.002465
65,0.971500,0.003120
70,0.976000,0.003300
75,0.979500,0.004265
80,0.982500,0.004445
85,0.985000,0.004730
90,0.986000,0.004910
95,0.987000,0.006385
100,0.989000,0.006570
105,0.989500,0.008295
110,0.992000,0.008490
