ef,recall,query_time
50,0.871450,0.000053
100,0.871450,0.000052
150,0.926353,0.000073
200,0.952738,0.000093
250,0.967556,0.000113
300,0.976634,0.000133
350,0.982597,0.000152
400,0.986486,0.000170
450,0.989327,0.000188
500,0.991386,0.000206
550,0.992968,0.000225
600,0.994157,0.000248
650,0.995027,0.000261
700,0.995777,0.000277
750,0.996353,0.000294
800,0.996849,0.000312
850,0.997269,0.000333
900,0.997586,0.000348
950,0.997842,0.000364
1000,0.998096,0.000379
