nprobe,recall,query_time
50,0.982548,0.001186
55,0.985995,0.001287
60,0.988657,0.001413
65,0.990805,0.001503
70,0.992469,0.001575
75,0.993811,0.001674
80,0.994874,0.001775
85,0.995746,0.001882
90,0.996440,0.002020
95,0.996995,0.002106
100,0.997441,0.002183
105,0.997790,0.002286
110,0.998111,0.002470
115,0.998404,0.002550
120,0.998596,0.002662
125,0.998789,0.002811
130,0.998910,0.002838
135,0.999080,0.002978
140,0.999196,0.003005
145,0.999304,0.003180
150,0.999402,0.003247
