ef,recall,query_time
100,0.932236,0.000050
200,0.972968,0.000081
300,0.984408,0.000118
400,0.989540,0.000150
500,0.992475,0.000180
600,0.994226,0.000220
700,0.995518,0.000250
800,0.996372,0.000287
900,0.997031,0.000324
1000,0.997525,0.000358
1100,0.997908,0.000391
1200,0.998204,0.000430
1300,0.998471,0.000463
1400,0.998677,0.000501
1500,0.998830,0.000533
1600,0.998969,0.000568
1700,0.999105,0.000608
1800,0.999199,0.000645
1900,0.999276,0.000672
2000,0.999349,0.000716
2100,0.999428,0.000754
2200,0.999489,0.000787
2300,0.999536,0.000821
2400,0.999573,0.000859
2500,0.999611,0.000892
2600,0.999634,0.000926
2700,0.999663,0.000959
2800,0.999680,0.001001
2900,0.999704,0.001045
3000,0.999727,0.001080
3100,0.999742,0.001107
3200,0.999749,0.001165
3300,0.999770,0.001182
3400,0.999777,0.001217
3500,0.999789,0.001248
3600,0.999803,0.001279
3700,0.999810,0.001325
3800,0.999821,0.001362
3900,0.999830,0.001403
4000,0.999833,0.001431
4100,0.999844,0.001458
4200,0.999859,0.001501
4300,0.999866,0.001557
4400,0.999879,0.001632
4500,0.999878,0.001716
4600,0.999879,0.001753
4700,0.999881,0.001795
4800,0.999883,0.001843
4900,0.999888,0.001888
5000,0.999892,0.001911
