nprobe,recall,query_time
20,0.928010,0.000366
25,0.941181,0.000439
30,0.950353,0.000524
35,0.957480,0.000601
40,0.962893,0.000684
45,0.967073,0.000782
50,0.970694,0.000858
55,0.973526,0.000947
60,0.976195,0.001025
65,0.978351,0.001143
70,0.980155,0.001242
75,0.981752,0.001321
80,0.983203,0.001386
85,0.984487,0.001443
90,0.985602,0.001524
95,0.986622,0.001659
100,0.987596,0.001725
105,0.988492,0.001792
110,0.989300,0.001993
115,0.989962,0.002108

