ef,recall,query_time
100,0.623500,0.000051
200,0.745000,0.000066
300,0.798000,0.000099
400,0.830000,0.000135
500,0.855000,0.000172
600,0.872000,0.000201
700,0.885500,0.000234
800,0.898000,0.000264
900,0.908500,0.000306
1000,0.913000,0.000333
1100,0.923500,0.000364
1200,0.929000,0.000394
1300,0.934500,0.000424
1400,0.939000,0.000460
1500,0.942500,0.000476
1600,0.947000,0.000517
1700,0.950000,0.000556
1800,0.951500,0.000569
1900,0.953500,0.000619
2000,0.955000,0.000649
2100,0.957000,0.000667
2200,0.958500,0.000706
2300,0.959500,0.000726
2400,0.960000,0.000762
2500,0.962500,0.000789
2600,0.963000,0.000815
2700,0.963500,0.000850
2800,0.965000,0.000882
2900,0.967000,0.000889
3000,0.969000,0.000921
3100,0.969000,0.000967
3200,0.970500,0.000971
3300,0.970500,0.001021
3400,0.971000,0.001036
3500,0.971000,0.001038
3600,0.971500,0.001080
3700,0.972000,0.001118
3800,0.973000,0.001146
3900,0.973000,0.001192
4000,0.973000,0.001197
4100,0.973000,0.001257
4200,0.974000,0.001272
4300,0.974000,0.001302
4400,0.974000,0.001322
4500,0.974500,0.001361
4600,0.974500,0.001378
4700,0.975000,0.001398
4800,0.975500,0.001424
4900,0.975500,0.001452
5000,0.976500,0.001521
5100,0.977000,0.001507
5200,0.977500,0.001538
5300,0.978000,0.001589
5400,0.978500,0.001586
5500,0.978500,0.001620
5600,0.979500,0.001648
5700,0.979500,0.001718
5800,0.980500,0.001716
5900,0.980500,0.001712
6000,0.980500,0.001737
6100,0.981500,0.001780
6200,0.982000,0.001765
6300,0.982500,0.001801
6400,0.982500,0.001851
6500,0.982500,0.001850
6600,0.983500,0.001900
6700,0.983500,0.001962
6800,0.983500,0.001998
6900,0.983500,0.001966
7000,0.984500,0.002023
7100,0.984500,0.002097
7200,0.984500,0.002123
7300,0.984500,0.002149
7400,0.984500,0.002163
7500,0.984500,0.002182
7600,0.984500,0.002215
7700,0.985500,0.002276
7800,0.985500,0.002304
7900,0.985500,0.002316
8000,0.985500,0.002260
8100,0.985500,0.002387
8200,0.985500,0.002281
8300,0.985500,0.002379
8400,0.985500,0.002360
8500,0.985500,0.002457
8600,0.985500,0.002443
8700,0.985500,0.002443
8800,0.985500,0.002492
8900,0.986000,0.002534
9000,0.986000,0.002539
9100,0.986500,0.002545
9200,0.986500,0.002669
9300,0.986500,0.002610
9400,0.986500,0.002609
9500,0.987000,0.002717
9600,0.987000,0.002709
9700,0.987000,0.002714
9800,0.987500,0.002721
9900,0.987500,0.002748
10000,0.987500,0.002930
